Category,Item,Protein,Serving Size,Calories,Calories from Fat,Total Fat,Total Fat (% Daily Value),Saturated Fat,Saturated Fat (% Daily Value),Trans Fat,Unsaturated Fat,Cholesterol,Cholesterol (% Daily Value),Sodium,Sodium (% Daily Value),Carbohydrates,Carbohydrates (% Daily Value),Dietary Fiber,Dietary Fiber (% Daily Value),Sugars,Vitamin A (% Daily Value),Vitamin C (% Daily Value),Calcium (% Daily Value),Iron (% Daily Value),Vitamin E (% Daily Value),Vitamin D (% Daily Value),Vitamin K (% Daily Value),Vitamin B12 (% Daily Value),Zinc
Breakfast,Egg McMuffin,17,4.8,300,120,13,20,5,25,0,8,260,87,750,31,31,10,4,17,3,10,0,25,15,0,6,0,0,13
Breakfast,Egg White Delight,18,4.8,250,70,8,12,3,15,0,5,25,8,770,32,30,10,4,17,3,6,0,25,8,4,6,0,0,8
Breakfast,Sausage McMuffin,14,3.9,370,200,23,35,8,42,0,15,45,15,780,33,29,10,4,17,2,8,0,25,10,0,8,0,0,12
Breakfast,Sausage McMuffin with Egg,21,5.7,450,250,28,43,10,52,0,18,285,95,860,36,30,10,4,17,2,15,0,30,15,5,12,0,0,15
Breakfast,Sausage McMuffin with Egg Whites,30,5.7,400,210,23,35,8,42,0,15,50,16,880,37,30,10,4,17,2,6,0,25,10,0,6,0,0,12
Breakfast,Steak & Egg McMuffin,26,6.5,430,210,23,36,9,46,1,13,300,100,960,40,31,10,4,18,3,15,2,30,20,2,11,2,2,16
Breakfast,"Bacon, Egg & Cheese Biscuit (Regular Biscuit)",19,5.3,460,230,26,40,13,65,0,13,250,83,1300,54,38,13,2,7,3,10,8,15,15,10,8,8,8,15
Breakfast,"Bacon, Egg & Cheese Biscuit (Large Biscuit)",19,5.8,520,270,30,47,14,68,0,16,250,83,1410,59,43,14,3,12,4,15,8,20,20,8,14,8,8,20
Breakfast,"Bacon, Egg & Cheese Biscuit with Egg Whites (Regular Biscuit)",20,5.4,410,180,20,32,11,56,0,9,35,11,1300,54,36,12,2,7,3,2,8,15,10,8,4,8,8,10
Breakfast,"Bacon, Egg & Cheese Biscuit with Egg Whites (Large Biscuit)",20,5.9,470,220,25,38,12,59,0,13,35,11,1420,59,42,14,3,12,4,6,8,15,15,10,6,8,8,15
Breakfast,Sausage Biscuit (Regular Biscuit),11,4.1,430,240,27,42,12,62,0,15,30,10,1080,45,34,11,2,6,2,0,0,6,15,0,0,0,0,15
Breakfast,Sausage Biscuit (Large Biscuit),11,4.6,480,280,31,48,13,65,0,18,30,10,1190,50,39,13,3,11,3,4,0,8,15,1,3,0,1,15
Breakfast,Sausage Biscuit with Egg (Regular Biscuit),18,5.7,510,290,33,50,14,71,0,19,250,83,1170,49,36,12,2,6,2,6,0,10,20,0,6,0,0,20
Breakfast,Sausage Biscuit with Egg (Large Biscuit),18,6.2,570,330,37,57,15,74,0,22,250,83,1280,53,42,14,3,11,3,10,0,10,20,0,8,0,1,20
Breakfast,Sausage Biscuit with Egg Whites (Regular Biscuit),18,5.9,460,250,27,42,12,62,0,15,35,11,1180,49,34,11,2,6,3,0,0,8,15,1,0,0,3,15
Breakfast,Sausage Biscuit with Egg Whites (Large Biscuit),18,6.4,520,280,32,49,13,65,0,19,35,11,1290,54,40,13,3,11,3,4,0,8,15,3,2,0,0,20
Breakfast,Southern Style Chicken Biscuit (Regular Biscuit),17,5,410,180,20,31,8,41,0,12,30,10,1180,49,41,14,2,6,3,0,2,6,15,2,0,2,2,18
Breakfast,Southern Style Chicken Biscuit (Large Biscuit),17,5.5,470,220,24,37,9,45,0,15,30,10,1290,54,46,15,3,11,4,4,2,8,15,2,4,2,1,15
Breakfast,Steak & Egg Biscuit (Regular Biscuit),25,7.1,540,290,32,49,16,78,1,15,280,93,1470,61,38,13,2,8,3,10,2,20,25,4,12,2,2,25
Breakfast,"Bacon, Egg & Cheese McGriddles",19,6.1,460,190,21,32,9,44,0,12,250,84,1250,52,48,16,2,9,15,10,10,20,15,10,12,6,5,15
Breakfast,"Bacon, Egg & Cheese McGriddles with Egg Whites",20,6.3,400,140,15,24,7,34,0,8,35,11,1250,52,47,16,2,9,16,2,10,15,10,10,2,8,8,10
Breakfast,Sausage McGriddles,11,5,420,200,22,34,8,40,0,14,35,11,1030,43,44,15,2,8,15,0,0,8,10,0,0,0,0,10
Breakfast,"Sausage, Egg & Cheese McGriddles",20,7.1,550,280,31,48,12,61,0,19,265,89,1320,55,48,16,2,9,15,10,0,20,15,0,10,0,0,15
Breakfast,"Sausage, Egg & Cheese McGriddles with Egg Whites",21,7.2,500,230,26,40,10,52,0,16,50,17,1320,55,46,15,2,9,15,2,0,20,10,0,4,0,0,14
Breakfast,"Bacon, Egg & Cheese Bagel",30,6.9,620,280,31,48,11,56,0.5,19.5,275,92,1480,62,57,19,3,11,7,20,15,20,20,17,20,4,3,18
Breakfast,"Bacon, Egg & Cheese Bagel with Egg Whites",30,7.1,570,230,25,39,9,45,0.5,15.5,60,20,1480,62,55,18,3,12,8,10,15,20,15,15,12,6,3,15
Breakfast,"Steak, Egg & Cheese Bagel",33,8.5,670,310,35,53,13,63,1.5,20.5,295,99,1510,63,56,19,3,12,7,20,4,25,25,4,18,4,4,22
Breakfast,Big Breakfast (Regular Biscuit),28,9.5,740,430,48,73,17,87,0,31,555,185,1560,65,51,17,3,12,3,15,2,15,25,2,15,2,2,22
Breakfast,Big Breakfast (Large Biscuit),28,10,800,470,52,80,18,90,0,34,555,185,1680,70,56,19,4,17,3,15,2,15,30,4,16,2,4,13
Breakfast,Big Breakfast with Egg Whites (Regular Biscuit),26,9.6,640,330,37,57,14,69,0,23,35,12,1590,66,50,17,3,12,3,0,2,10,15,2,0,2,2,15
Breakfast,Big Breakfast with Egg Whites (Large Biscuit),26,10.1,690,370,41,63,14,72,0,27,35,12,1700,71,55,18,4,17,4,4,2,10,15,2,4,2,3,15
